year,month,region,province,thai_visitors,foreign_visitors,income_from_thai_visitors,income_from_foreign_visitors
2563,มีนาคม,ภาคเหนือ,กำแพงเพชร,31559.00,183.00,60.51,0.56
2563,มีนาคม,ภาคเหนือ,เชียงราย,167310.00,8385.00,1028.26,68.96
2563,มีนาคม,ภาคเหนือ,เชียงใหม่,351724.00,59316.00,2741.71,763.75
2563,มีนาคม,ภาคเหนือ,พิจิตร,22168.00,22.00,44.31,0.03
2563,มีนาคม,ภาคเหนือ,นครสวรรค์,68496.00,295.00,117.46,0.39
2563,มีนาคม,ภาคเหนือ,ตาก,111678.00,842.00,299.91,2.79
2563,มีนาคม,ภาคเหนือ,พิษณุโลก,137492.00,3150.00,314.49,9.44
2563,มีนาคม,ภาคเหนือ,พะเยา,24174.00,29.00,41.30,0.04
2563,มีนาคม,ภาคเหนือ,เพชรบูรณ์,121440.00,207.00,378.35,0.54
2563,มีนาคม,ภาคเหนือ,แพร่,23679.00,1098.00,41.51,3.96
2563,มีนาคม,ภาคเหนือ,ลำปาง,44585.00,1596.00,105.49,7.84
2563,มีนาคม,ภาคเหนือ,ลำพูน,35831.00,300.00,51.24,0.55
2563,มีนาคม,ภาคเหนือ,แม่ฮ่องสอน,31688.00,4336.00,108.54,31.78
2563,มีนาคม,ภาคเหนือ,อุตรดิตถ์,33342.00,82.00,63.34,0.18
2563,มีนาคม,ภาคเหนือ,อุทัยธานี,26864.00,52.00,42.35,0.18
2563,มีนาคม,ภาคเหนือ,สุโขทัย,29708.00,5219.00,51.85,16.67
2563,มีนาคม,ภาคเหนือ,น่าน,39804.00,391.00,103.47,1.82
2563,มีนาคม,ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,11134.00,13.00,15.52,0.02
2563,มีนาคม,ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,157886.00,1332.00,452.06,4.29
2563,มีนาคม,ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,23447.00,549.00,29.42,1.11
2563,มีนาคม,ภาคตะวันออกเฉียงเหนือ,นครพนม,25910.00,861.00,50.96,1.05
2563,มีนาคม,ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,205743.00,4929.00,445.91,22.78
2563,มีนาคม,ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,25370.00,288.00,44.42,0.39
2563,มีนาคม,ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,10968.00,184.00,16.74,0.24
